Date,WIL5000,WIL5000:BofA_AAA,WIL5000:BofA_BBB,WIL5000:BofA_CCC,WIL5000:Gold
2016-06-08,0.9999999999974831,0.25577380560607527,0.6611798449686349,0.7331143962821238,0.15182267929778287
2016-06-09,0.9999999999977304,0.26778790387204415,0.6663806557911667,0.741552716788553,0.15973199356809395
2016-06-10,0.9999999999977506,0.2791616764479943,0.6699408160344452,0.7467798523698751,0.16755947592575224
2016-06-13,0.9999999999977678,0.28715124281056303,0.6710794636428574,0.750824498503665,0.17390142100450126
2016-06-14,0.9999999999978755,0.29150941352772886,0.6716234926004736,0.7572498772939594,0.1790316186307643
2016-06-15,0.9999999999977705,0.29608788996630303,0.6717710357897192,0.7627353064009609,0.18370342566546555
2016-06-16,0.9999999999979555,0.2994376846238193,0.6725600413190337,0.7703607637549963,0.1885722429022678
2016-06-17,0.999999999997966,0.30117950346851974,0.672968298925675,0.7778589074519435,0.1919744709377236
2016-06-20,0.9999999999977535,0.3036646654468688,0.6747257282406027,0.7858340556499778,0.197103749947358
2016-06-21,0.9999999999978277,0.3052228849959882,0.6764378959022064,0.7943084062964706,0.2013466176284993
2016-06-22,0.9999999999978686,0.3045934737412622,0.6789695806758385,0.8070338824800999,0.20240066620776648
2016-06-23,0.9999999999978852,0.30560555872137707,0.6835022910359301,0.8206988114667046,0.20487627526475594
2016-06-24,0.9999999999977045,0.30164572118941174,0.6795828430261106,0.8254314065118492,0.2023516032069839
2016-06-27,0.9999999999976369,0.2910228779019264,0.6682938728752876,0.8260215705126798,0.1949804044684727
2016-06-28,0.9999999999976864,0.2880507708991652,0.6627695235045432,0.8267960025110865,0.1944696132352449
2016-06-29,0.9999999999977833,0.291987830348163,0.6620982310450916,0.827932991355333,0.19915439517951228
2016-06-30,0.999999999997603,0.29861204023177085,0.6642808559390991,0.8312577561603526,0.20651817684567866
2016-07-01,0.9999999999974803,0.3072179309350733,0.6669813038073115,0.8341111982038861,0.21563834301273244
2016-07-05,0.9999999999974748,0.3154097710654373,0.6676324126802783,0.8351787435356056,0.22348548654197833
2016-07-06,0.9999999999976116,0.32508181090607075,0.6697672846749406,0.8370672528802522,0.2331253393023676
2016-07-07,0.9999999999976472,0.3344348085970226,0.6717040978470447,0.8387628296178051,0.24188431611705655
2016-07-08,0.9999999999977074,0.3471152619968989,0.6764606727061844,0.8424857220226799,0.25363586614799877
2016-07-11,0.9999999999976732,0.35913744430068467,0.6817790684772617,0.847005382423229,0.26596590715727525
2016-07-12,0.9999999999977529,0.3727746748078687,0.6884987832623142,0.8504863938705078,0.27847993649623565
2016-07-13,0.9999999999976799,0.38705566891415555,0.6950759621910254,0.8535856074988033,0.2904657057619251
2016-07-14,0.9999999999977005,0.4004520019190454,0.7018836348538969,0.8568343801131649,0.3011470646915719
2016-07-15,0.9999999999976945,0.4122058406095711,0.7081624177137469,0.8600268644643267,0.31154410930296245
2016-07-18,0.9999999999977784,0.4226652449714715,0.7139980333803031,0.863812205161885,0.32225618696361774
2016-07-19,0.9999999999979265,0.43426569612231386,0.7200042483529321,0.8664438011236232,0.3325929821690993
2016-07-20,0.9999999999978607,0.44748000197772814,0.7270647653266917,0.8688274892727023,0.34265840780458906
2016-07-21,0.9999999999978613,0.45905977534102715,0.7330978278895713,0.8710287759031433,0.3521194389760007
2016-07-22,0.9999999999977025,0.47008146092223946,0.7390625000713779,0.8734467993793855,0.3614767722873151
